CENTRE.NAME,POSTAL.CODE,Longtitude,Latitude
MY FIRST SKOOL,671443,103.7697667,1.381466364
MY FIRST SKOOL,797536,103.8786967,1.395105982
MY FIRST SKOOL,648135,103.7002636,1.341900964
MY FIRST SKOOL,540164,103.9075986,1.389305066
MY FIRST SKOOL,750120,103.8314398,1.445653757
MY FIRST SKOOL,681815,103.7469031,1.376078467
MY FIRST SKOOL,390052,103.8850317,1.310672218
MY FIRST SKOOL,762509,103.8401315,1.413801948
MY FIRST SKOOL,530706,103.8886465,1.365960368
MY FIRST SKOOL,730676,103.8007207,1.439749518
MY FIRST SKOOL,822682,103.915952,1.403411731
MY FIRST SKOOL,643698,103.7078306,1.3402705
MY FIRST SKOOL,677725,103.7725234,1.386762235
MY FIRST SKOOL,735785,103.8054876,1.446804139
MY FIRST SKOOL,681684,103.7467671,1.404006084
MY FIRST SKOOL,828803,103.9044371,1.407176432
MY FIRST SKOOL,821659,103.9197574,1.400527833
MY FIRST SKOOL,530997,103.8807632,1.385442843
ROSYTH CHILD CARE CENTRE,557783,103.8698924,1.357578789
KINDERLAND PRESCHOOL,805946,103.853994,1.390489409
TWINKLE CHILD CARE AND DEVELOPMENT CENTRE,596360,103.7740794,1.344176198
PAT'S SCHOOLHOUSE PTE LTD,229541,103.8297852,1.308393922
LEARNINGHILL EDUCARE PTE LTD,456903,103.9277138,1.316799111
KINDERCAMPUS (S) PTE LTD,359756,103.8655621,1.349095877
SAM'S EARLY LEARNING CENTRE PTE LTD,249196,103.8280185,1.295444678
ALPHABET PLAYHOUSE CHILD CARE AND LEARNING CENTRE PTE LTD,239803,103.839385,1.298163068
HIS LITTLE KINGDOM CHILD CARE & DEVELOPMENT CENTRE,759245,103.8259527,1.42845098
KINDERLAND PRESCHOOL,530202,103.8840493,1.357586117
BLOSSOM CREATIVE CENTRE LLP,468182,103.9465524,1.322603709
KIDS' CORNER CHILD DAY CARE CENTRE,127393,103.7580864,1.311470732
PAT'S SCHOOLHOUSE PTE. LTD.,309763,103.8398964,1.317633299
LITTLE FOOTPRINTS SCHOOLHOUSE (366) PTE. LTD.,760366,103.8458797,1.429080985
EARLY LEARNING CENTRE PTE LTD,680229,103.7463673,1.380653749
AVERBEL CHILD DEVELOPMENT CENTRE PTE LTD,760742,103.8331094,1.429720076
CHILTERN HOUSE,298135,103.8394192,1.333665266
KIDS AND KINS CHILD CARE CENTRE,568179,103.8323314,1.369682026
SWEETLANDS CHILDCARE JE 316 PTE. LTD.,600316,103.7320798,1.346006527
MINI WORLD CHILD CARE & DEVELOPMENT CENTRE PTE LTD,460058,103.9197569,1.325918895
ISLAND PLAYHOUSE-CHILD DEVELOPMENT CENTRE PTE LTD,519732,103.9432766,1.383042067
LITTLE FAIRYLAND CHILD CARE & DEVELOPMENT CENTRE,429063,103.9136754,1.309567536
